parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr,cpu_id,target_mhz,measured_mhz,resource_applied,dvfs_enabled,region_wall_ms,dvfs_enable_ms,dvfs_disable_ms
3199,3,800,1,4,4,43002.100339,43002.344870,0.244531,0x404f80,40,4800.000000,-1.000000,0,0,0.244590,1.200000,0.800000
3199,3,800,2,4,4,43002.100280,43002.336934,0.236654,0x404f80,48,4800.000000,-1.000000,0,0,0.244590,1.200000,0.800000
3199,3,800,3,4,4,43002.100397,43002.310347,0.209950,0x404f80,56,4800.000000,-1.000000,0,0,0.244590,1.200000,0.800000
3200,4,800,0,4,4,43002.396981,43002.425376,0.028395,0x405030,0,4800.000000,-1.000000,0,0,0.031714,1.200000,0.800000
3200,4,800,1,4,4,43002.397151,43002.428375,0.031224,0x405030,40,4800.000000,-1.000000,0,0,0.031714,1.200000,0.800000
3200,4,800,2,4,4,43002.397029,43002.428695,0.031666,0x405030,48,4800.000000,-1.000000,0,0,0.031714,1.200000,0.800000
3200,4,800,3,4,4,43002.397091,43002.422592,0.025501,0x405030,56,4800.000000,-1.000000,0,0,0.031714,1.200000,0.800000
3201,5,800,0,4,4,43002.441525,43002.476542,0.035017,0x405097,0,4800.000000,-1.000000,0,0,0.039203,1.200000,0.800000
3201,5,800,1,4,4,43002.441597,43002.480274,0.038677,0x405097,40,4800.000000,-1.000000,0,0,0.039203,1.200000,0.800000
3201,5,800,2,4,4,43002.441720,43002.480724,0.039004,0x405097,48,4800.000000,-1.000000,0,0,0.039203,1.200000,0.800000
3201,5,800,3,4,4,43002.441521,43002.474625,0.033104,0x405097,56,4800.000000,-1.000000,0,0,0.039203,1.200000,0.800000
3598,2,900,0,4,4,47232.082508,47270.340169,36.586735,0x404f28,0,4800.000000,4299.466859,1,1,38.288457,1.200000,0.800000
3598,2,900,1,4,4,47232.082089,47270.370300,37.658977,0x404f28,40,4800.000000,4299.810595,1,1,38.288457,1.200000,0.800000
3598,2,900,2,4,4,47232.081843,47270.344739,37.085173,0x404f28,48,4800.000000,4299.645489,1,1,38.288457,1.200000,0.800000
3598,2,900,3,4,4,47232.082141,47270.326615,36.298808,0x404f28,56,4800.000000,4299.839034,1,1,38.288457,1.200000,0.800000
3599,3,900,0,4,4,47270.454598,47270.668923,0.214325,0x404f80,0,4800.000000,-1.000000,0,0,0.214325,1.200000,0.800000
3599,3,900,1,4,4,47270.454757,47270.662289,0.207532,0x404f80,40,4800.000000,-1.000000,0,0,0.214325,1.200000,0.800000
