parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr,cpu_id,target_mb_percent,resource_applied,resctrl_enabled,region_wall_ms,resctrl_enable_ms,resctrl_disable_ms,resource_kind,target_l3_ways,target_l3_mask,mon_valid,mon_l3_domains,mon_start_llc_occupancy_bytes,mon_end_llc_occupancy_bytes,mon_llc_occupancy_delta_bytes,mon_start_mbm_total_bytes,mon_end_mbm_total_bytes,mon_mbm_total_delta_bytes,mon_start_mbm_local_bytes,mon_end_mbm_local_bytes,mon_mbm_local_delta_bytes,mon_start_mbm_remote_bytes,mon_end_mbm_remote_bytes,mon_mbm_remote_delta_bytes
1600,4,400,1,4,4,125924.026702,125924.067032,0.040330,0x4056d3,40,100.000000,1,1,0.065709,1.200000,0.800000,cat,15,7fff,1,1,30457856,30457856,0,131439075328,131439075328,0,131439075328,131439075328,0,-1,-1,-1
1600,4,400,2,4,4,125924.033268,125924.072728,0.039460,0x4056d3,48,100.000000,1,1,0.065709,1.200000,0.800000,cat,15,7fff,1,1,29827072,30007296,180224,138397704192,138397704192,0,138397704192,138397704192,0,-1,-1,-1
1600,4,400,3,4,4,125924.014578,125924.040087,0.025509,0x4056d3,56,100.000000,1,1,0.065709,1.200000,0.800000,cat,1,1,1,1,1622016,1622016,0,189623402496,189623402496,0,189623402496,189623402496,0,-1,-1,-1
1601,5,400,0,4,4,125924.134369,125924.154398,0.020029,0x40573a,32,100.000000,1,1,0.059972,1.200000,0.800000,cat,1,1,1,1,1982464,2072576,90112,184520990720,184520990720,0,184520990720,184520990720,0,-1,-1,-1
1601,5,400,1,4,4,125924.159454,125924.194341,0.034887,0x40573a,40,100.000000,1,1,0.059972,1.200000,0.800000,cat,15,7fff,1,1,30367744,30367744,0,131439165440,131439255552,90112,131439165440,131439255552,90112,-1,-1,-1
1601,5,400,2,4,4,125924.152442,125924.189446,0.037004,0x40573a,48,100.000000,1,1,0.059972,1.200000,0.800000,cat,15,7fff,1,1,30097408,30097408,0,138397704192,138397704192,0,138397704192,138397704192,0,-1,-1,-1
1601,5,400,3,4,4,125924.141988,125924.161492,0.019504,0x40573a,56,100.000000,1,1,0.059972,1.200000,0.800000,cat,1,1,1,1,1622016,1622016,0,189623402496,189623492608,90112,189623402496,189623492608,90112,-1,-1,-1
1998,2,500,0,4,4,157161.041889,157471.995452,168.013937,0x4055d2,32,100.000000,1,1,311.583956,1.200000,0.800000,cat,1,1,1,1,1982464,2072576,6758400,230126944256,230591201280,460021760,230126944256,230591201280,459931648,-1,-1,-1
1998,2,500,1,4,4,157161.056696,157472.625845,307.623252,0x4055d2,40,100.000000,1,1,311.583956,1.200000,0.800000,cat,15,7fff,1,1,30818304,30638080,991232,164106567680,164438179840,331522048,164106567680,164438179840,331522048,-1,-1,-1
1998,2,500,2,4,4,157161.054891,157472.552839,306.940648,0x4055d2,48,100.000000,1,1,311.583956,1.200000,0.800000,cat,15,7fff,1,1,30277632,30277632,991232,172490498048,172830400512,339451904,172490498048,172830400512,339451904,-1,-1,-1
