region_exec,region_id,region,measure_start_ms,resctrl_start_ms,delta_start_ms,measure_end_ms,resctrl_end_ms,delta_end_ms,measure_wall_ms,resctrl_wall_ms,delta_wall_ms
1000,3,importance,173182.603413,171595.045914,-1587.5574990000168,173182.863775,171595.308033,-1587.5557419999968,0.26036200000089593,0.2621190000209026,0.0017570000200066715
1000,4,mark_refine,173183.048947,171596.143307,-1586.9056400000118,173183.080226,171596.188562,-1586.8916639999952,0.031278999987989664,0.045255000004544854,0.01397600001655519
1000,5,mark_coarsen,173183.111052,171596.247892,-1586.863159999979,173183.142698,171596.27857,-1586.8641280000156,0.03164600001764484,0.03067799998098053,-0.0009680000366643071
1100,2,heat_update,187083.991651,185318.063484,-1765.9281669999764,187215.38904,185452.126276,-1763.2627640000137,131.39738900001976,134.06279199998244,2.66540299996268
1100,3,importance,187215.47569,185452.297985,-1763.17770499998,187215.717434,185452.587967,-1763.1294669999916,0.24174399999901652,0.2899819999875035,0.04823799998848699
1100,4,mark_refine,187215.891461,185453.404947,-1762.4865139999893,187215.922091,185453.454449,-1762.4676419999741,0.030629999993834645,0.04950200000894256,0.018872000015107915
1100,5,mark_coarsen,187215.959897,185453.516087,-1762.443809999997,187215.986323,185453.546445,-1762.4398779999756,0.02642599999671802,0.03035800001816824,0.0039320000214502215
1200,2,heat_update,200333.760364,198457.362983,-1876.397380999988,200458.603648,198583.930203,-1874.673444999993,124.84328400000231,126.56721999999718,1.7239359999948647
1200,3,importance,200458.685019,198584.117541,-1874.5674779999827,200458.920796,198584.395015,-1874.525781000004,0.23577699999441393,0.2774739999731537,0.04169699997873977
1200,4,mark_refine,200459.093921,198585.182929,-1873.91099199999,200459.124465,198585.227298,-1873.8971669999883,0.030544000008376315,0.044369000010192394,0.013825000001816079
1200,5,mark_coarsen,200459.180629,198585.286195,-1873.8944340000162,200459.207041,198585.318928,-1873.8881129999936,0.026411999977426603,0.03273300000000745,0.006321000022580847
1300,2,heat_update,212617.923433,210985.1668,-1632.7566329999827,212735.756111,211104.372494,-1631.383616999985,117.83267800000613,119.20569400000386,1.3730159999977332
1300,3,importance,212735.845478,211104.569604,-1631.2758740000136,212736.07143,211104.794571,-1631.276859000005,0.22595200000796467,0.22496700001647696,-0.0009849999914877117
1300,4,mark_refine,212736.259609,211105.560021,-1630.6995879999886,212736.290782,211105.60329,-1630.6874919999973,0.03117299999576062,0.04326899998704903,0.012095999991288409
1300,5,mark_coarsen,212736.321584,211105.671601,-1630.6499829999811,212736.34807,211105.706253,-1630.641816999996,0.026486000017030165,0.03465200000209734,0.008165999985067174
1400,2,heat_update,224236.000168,222679.661776,-1556.3383920000051,224346.450518,222795.553632,-1550.8968860000023,110.45034999999916,115.89185600000201,5.441506000002846
1400,3,importance,224346.544581,222795.743861,-1550.8007199999993,224346.758858,222796.001013,-1550.7578449999855,0.2142769999918528,0.2571520000055898,0.04287500001373701
