region_id,region,region_exec,measure_wall_ms,resctrl_wall_ms,delta_wall_ms,delta_wall_pct,measure_max_thread_ms,resctrl_max_thread_ms,delta_max_thread_ms,measure_mean_thread_ms,resctrl_mean_thread_ms,delta_mean_thread_ms,measure_imbalance_ms,resctrl_imbalance_ms,delta_imbalance_ms,measure_llc_miss_rate,resctrl_llc_miss_rate,delta_llc_miss_rate_pct_point,resctrl_target_mean,resctrl_target_min,resctrl_target_max,resctrl_applied_threads,resctrl_enabled_threads
3,importance,600,0.2770850000088103,0.34024499999941327,0.06315999999060296,22.794449352579424,0.275992,0.339539,0.06354699999999996,0.203031875,0.2164990625,0.013467187500000005,0.16000200000000003,0.20712199999999997,0.04711999999999994,0.6937003682817355,0.6854417164662683,-0.8258651815467255,60.0,20.0,100.0,0,0
3,importance,700,0.270237000004272,0.32802600000286475,0.05778899999859277,21.384562438777525,0.269205,0.327405,0.058199999999999974,0.199343625,0.2075039375,0.008160312500000017,0.16159300000000004,0.205227,0.04363399999999995,0.6841498979294255,0.6742349528643945,-0.9914945065030989,60.0,20.0,100.0,0,0
3,importance,800,0.26928800001041964,0.2719770000257995,0.002689000015379861,0.9985591690962147,0.267902,0.269549,0.0016470000000000096,0.1943380625,0.2010225625,0.00668450000000001,0.16501699999999997,0.142362,-0.02265499999999998,0.6817851399872238,0.6786230139624458,-0.3162126024777945,60.0,20.0,100.0,0,0
3,importance,900,0.2661940000252798,0.2624669999931939,-0.0037270000320859253,-1.4001067010270631,0.26552,0.261189,-0.004330999999999974,0.1928966875,0.1962835,0.0033868125000000027,0.16542599999999996,0.13754100000000002,-0.027884999999999938,0.6772834625265605,0.668639312963139,-0.864414956342141,60.0,20.0,100.0,0,0
3,importance,1000,0.25920299999415874,0.25603400002000853,-0.0031689999741502106,-1.2225938643540488,0.2585,0.25518,-0.0033199999999999896,0.190074625,0.197535625,0.007460999999999995,0.159719,0.13223000000000001,-0.027488999999999986,0.6756872304519033,0.6691951179529976,-0.6492112498905689,60.0,20.0,100.0,0,0
3,importance,1100,0.23960199998691678,0.24667299998691306,0.007070999999996275,2.9511439805938093,0.238896,0.245919,0.0070230000000000015,0.1802658125,0.1892819375,0.009016124999999986,0.150969,0.125465,-0.025504,0.6653581113782852,0.6526678325969563,-1.269027878132889,60.0,20.0,100.0,0,0
3,importance,1200,0.23608600001898594,0.23211799998534843,-0.003968000033637509,-1.6807434720052878,0.23529,0.229503,-0.005786999999999987,0.180020375,0.180485125,0.000464749999999986,0.140314,0.11505500000000002,-0.025258999999999976,0.6551364559582267,0.6421032223040831,-1.303323365414355,60.0,20.0,100.0,0,0
3,importance,1300,0.21823999998741783,0.26156800001626834,0.04332800002885051,19.853372448381826,0.21749,0.260561,0.043071,0.1710146875,0.188954375,0.017939687499999996,0.127062,0.14872599999999997,0.02166399999999996,0.6401346181321734,0.6192473761398737,-2.0887241992299743,60.0,20.0,100.0,0,0
3,importance,1400,0.22217100000125356,0.21103299999958836,-0.011138000001665205,-5.013255556126749,0.221318,0.20896,-0.01235799999999998,0.172505125,0.1701333125,-0.0023718125000000145,0.12451699999999999,0.095141,-0.029375999999999985,0.6280528557739538,0.6124431004551963,-1.5609755318757412,60.0,20.0,100.0,0,0
3,importance,1500,0.20373800001107156,0.2060930000152439,0.002355000004172325,1.1558963001719607,0.203012,0.204562,0.0015499999999999958,0.1627983125,0.164894125,0.002095812500000016,0.112749,0.09740299999999999,-0.015346000000000012,0.6168585822238215,0.5896035385302114,-2.7255043693610093,60.0,20.0,100.0,0,0
3,importance,1600,0.19897800000035204,0.19352199998684227,-0.005456000013509765,-2.742011686467907,0.197962,0.190974,-0.006987999999999994,0.1586154375,0.1585255625,-8.987500000001702e-05,0.113964,0.08612500000000001,-0.02783899999999999,0.597887800921474,0.559575748457951,-3.8312052463522983,60.0,20.0,100.0,0,0
3,importance,1700,0.1990280000027269,0.1924799999978859,-0.006548000004841015,-3.289989350619661,0.197844,0.190325,-0.007518999999999998,0.1576206875,0.158278875,0.0006581875000000181,0.10593699999999999,0.08446999999999999,-0.021467,0.5894952552634264,0.5401919210690814,-4.930333419434496,60.0,20.0,100.0,0,0
3,importance,1800,0.19205900002270937,0.18385500001022592,-0.008204000012483448,-4.271604044337101,0.191872,0.183194,-0.008677999999999991,0.155798375,0.153204,-0.002594374999999982,0.10088599999999999,0.08250199999999999,-0.018383999999999998,0.5846556784056784,0.5277801485021764,-5.687552990350209,58.75,20.0,100.0,0,0
3,importance,1900,0.1807309999712743,0.2048979999963194,0.024167000025045127,13.371806734254928,0.179948,0.20252,0.02257200000000001,0.150683375,0.1532909375,0.0026075624999999936,0.093125,0.098762,0.005637000000000003,0.5825971081710177,0.5135151488957082,-6.908195927530958,59.375,20.0,100.0,0,0
3,importance,2000,0.1772810000111349,0.1938180000288412,0.016537000017706305,9.328128799289054,0.17681,0.192809,0.015999000000000013,0.150477,0.15601225,0.0055352499999999916,0.087626,0.084052,-0.003573999999999994,0.5854728833053172,0.5080729469160181,-7.73999363892991,60.625,20.0,100.0,0,0
4,mark_refine,100,0.030864000000292435,0.04176100000040606,0.010897000000113621,35.30650596167176,0.028531,0.035916,0.007384999999999996,0.022737375,0.0249306875,0.002193312499999999,0.008411000000000002,0.013905999999999998,0.005494999999999996,0.7383798140770252,0.7066420664206642,-3.173774765636106,81.25,80.0,100.0,0,0
4,mark_refine,200,0.033498999997391365,0.05432499999733409,0.020825999999942724,62.16901997541564,0.030934,0.045205,0.014271000000000002,0.024200375,0.025395125,0.0011947500000000014,0.009267000000000001,0.023392000000000003,0.014125000000000002,0.7479602695991486,0.7093360995850623,-3.8624170014086356,58.75,50.0,100.0,0,0
4,mark_refine,300,0.03153000000020256,0.06392200000118464,0.03239200000098208,102.73390422065962,0.02916,0.054721,0.025561,0.0225568125,0.0263056875,0.003748875000000002,0.009107999999999998,0.032901,0.023793,0.750130230942872,0.7324513046674017,-1.7678926275470297,42.5,30.0,100.0,0,0
4,mark_refine,400,0.033496999996714294,0.05283499999495689,0.019337999998242594,57.73054303412082,0.030614,0.044571,0.013957,0.0228555,0.024881375,0.002025875,0.010470999999999998,0.022737,0.012266000000000003,0.761549395877754,0.7505614095698739,-1.0987986307880115,31.875,20.0,100.0,0,0
4,mark_refine,500,0.03137399999832269,0.050948000003700145,0.019574000005377457,62.38923951814853,0.029063,0.042461,0.013398,0.0226569375,0.0242911875,0.0016342499999999968,0.008743999999999998,0.021951,0.013207,0.759133018703024,0.6922779922779922,-6.685502642503172,26.25,20.0,100.0,0,0
4,mark_refine,600,0.03265500000270549,0.05291100000613369,0.0202560000034282,62.030316955290075,0.030482,0.046135,0.015653000000000004,0.0227448125,0.025378249999999998,0.0026334374999999986,0.010435,0.024453000000000003,0.014018000000000003,0.7503005323716297,0.720365296803653,-2.9935235567976726,25.625,20.0,100.0,0,0
4,mark_refine,700,0.030973000000813045,0.04928300000028685,0.018309999999473803,59.11600425852569,0.029025,0.041941,0.012916,0.0227201875,0.0251080625,0.002387875000000001,0.008874999999999997,0.020364,0.011489000000000003,0.7473684210526316,0.7109144542772862,-3.6453966775345403,25.0,20.0,100.0,0,0
4,mark_refine,800,0.03870100001222454,0.050156000012066215,0.011454999999841675,29.598718369611554,0.036298,0.04331,0.007012000000000004,0.0260759375,0.0253050625,-0.0007708750000000007,0.014189999999999998,0.021405,0.007215000000000003,0.7349299446073639,0.7205264119904954,-1.4403532616868553,25.0,20.0,100.0,0,0
