region_id,region,thread_id,common_events,measure_elapsed_mean_ms,resctrl_elapsed_mean_ms,delta_elapsed_mean_ms,delta_elapsed_mean_pct,faster_events,slower_events,delta_llc_miss_rate_pct_point_mean,resctrl_target_mean,resctrl_target_min,resctrl_target_max,resctrl_applied_rows
4,mark_refine,8,20,0.02373095,0.02470315,0.0009721999999999998,4.096759716741217,2,18,-2.666850255973829,29.5,20.0,80.0,0
4,mark_refine,9,20,0.02393595,0.0251017,0.0011657499999999997,4.870289251105553,6,14,-10.585014606687547,33.0,20.0,80.0,0
4,mark_refine,10,20,0.0239202,0.02527055,0.00135035,5.645228718823421,3,17,-4.57401081780877,27.5,20.0,80.0,0
4,mark_refine,11,20,0.023535649999999998,0.02459415,0.0010585000000000002,4.497432618177108,2,18,-6.517259039888702,27.5,20.0,80.0,0
4,mark_refine,12,20,0.020510050000000002,0.0215018,0.0009917499999999998,4.8354343358499845,2,18,8.728729277787457,25.5,20.0,80.0,0
4,mark_refine,13,20,0.0213192,0.02139145,7.224999999999991e-05,0.33889639386093245,9,11,-28.040521262244987,25.0,20.0,80.0,0
4,mark_refine,14,20,0.0208546,0.0214977,0.0006431,3.0837321262455286,8,12,-0.2852137107009302,25.5,20.0,80.0,0
4,mark_refine,15,20,0.02049015,0.021585,0.0010948500000000003,5.343299097371178,1,19,16.331731786817368,25.5,20.0,80.0,0
5,mark_coarsen,0,20,0.021477200000000002,0.02208945,0.0006122499999999996,2.8506974838433297,6,14,0.21214498052903605,43.0,40.0,80.0,0
5,mark_coarsen,1,20,0.02108225,0.0214474,0.00036514999999999985,1.732025756264155,8,12,-17.764782721014523,43.0,40.0,80.0,0
5,mark_coarsen,2,20,0.0210691,0.02145965,0.00039055000000000025,1.8536624725308637,7,13,-15.221927275969623,43.0,40.0,80.0,0
5,mark_coarsen,3,20,0.02062995,0.02126325,0.0006333000000000004,3.0698087004573464,6,14,-20.800221223863065,43.0,40.0,80.0,0
5,mark_coarsen,4,20,0.0251173,0.02670935,0.0015920499999999998,6.338459945933679,1,19,6.121750790305082,82.0,80.0,100.0,0
5,mark_coarsen,5,20,0.0254939,0.0269063,0.0014123999999999999,5.540148819913783,5,15,0.21772844004749786,82.0,80.0,100.0,0
5,mark_coarsen,6,20,0.0252275,0.02656345,0.0013359500000000002,5.295609949459916,4,16,-4.944146704597187,82.0,80.0,100.0,0
5,mark_coarsen,7,20,0.025361850000000002,0.02669505,0.0013331999999999994,5.256714316976085,2,18,10.880819731262225,82.0,80.0,100.0,0
5,mark_coarsen,8,20,0.0254891,0.02681195,0.00132285,5.189865471907599,1,19,11.509629041537252,82.0,80.0,100.0,0
5,mark_coarsen,9,20,0.02568335,0.02694995,0.0012665999999999999,4.931599655029425,4,16,-1.705274072156785,100.0,100.0,100.0,0
5,mark_coarsen,10,20,0.0255701,0.02799435,0.00242425,9.480799840438639,4,16,-4.955718111789812,82.0,80.0,100.0,0
5,mark_coarsen,11,20,0.02531145,0.02697885,0.0016673999999999999,6.587532519867491,3,17,-2.0826202276829946,82.0,80.0,100.0,0
5,mark_coarsen,12,20,0.0205786,0.0214666,0.0008880000000000001,4.31516235312412,5,15,-8.727203502375824,43.0,40.0,80.0,0
5,mark_coarsen,13,20,0.02071125,0.02135055,0.0006393,3.086728227412638,6,14,-43.79385203053107,43.0,40.0,80.0,0
5,mark_coarsen,14,20,0.02084315,0.0214798,0.0006366500000000004,3.0544807286806472,6,14,-10.3295618876041,43.0,40.0,80.0,0
5,mark_coarsen,15,20,0.020621999999999998,0.02148345,0.0008614500000000004,4.177334885074195,5,15,-2.494583971469389,43.0,40.0,80.0,0
