region_exec,region_id,region,measure_start_ms,resctrl_start_ms,delta_start_ms,measure_end_ms,resctrl_end_ms,delta_end_ms,measure_wall_ms,resctrl_wall_ms,delta_wall_ms
1600,5,mark_coarsen,245448.950885,243425.297278,-2023.6536069999856,245448.976244,243425.323318,-2023.6529259999807,0.02535899999202229,0.026039999997010455,0.0006810000049881637
1700,2,heat_update,255210.053046,253235.642558,-1974.410487999994,255304.903386,253334.328731,-1970.574655000004,94.85034000000451,98.6861729999946,3.835832999990089
1700,3,importance,255304.985605,253334.479679,-1970.5059259999834,255305.184633,253334.672159,-1970.5124739999883,0.1990280000027269,0.1924799999978859,-0.006548000004841015
1700,4,mark_refine,255305.335006,253335.248824,-1970.086181999999,255305.365325,253335.285939,-1970.0793859999976,0.030318999983137473,0.037114999984623864,0.006796000001486391
1700,5,mark_coarsen,255305.392912,253335.346451,-1970.04646100002,255305.418118,253335.373898,-1970.0442200000107,0.025205999991158023,0.027447000000393018,0.0022410000092349946
1800,2,heat_update,264776.662174,262950.938961,-1825.7232129999902,264869.678393,263047.137124,-1822.5412689999794,93.01621899998281,96.19816299999366,3.1819440000108443
1800,3,importance,264869.748097,263047.27558,-1822.4725169999874,264869.940156,263047.459435,-1822.480721,0.19205900002270937,0.18385500001022592,-0.008204000012483448
1800,4,mark_refine,264870.090383,263047.980091,-1822.1102919999976,264870.120694,263048.011933,-1822.1087609999813,0.030311000009533018,0.031842000025790185,0.0015310000162571669
1800,5,mark_coarsen,264870.156352,263048.066984,-1822.0893680000445,264870.180769,263048.095309,-1822.0854600000312,0.02441700000781566,0.028325000021141022,0.003908000013325363
1900,2,heat_update,274015.993678,272405.856071,-1610.1376070000115,274104.44241,272500.110381,-1604.332029000041,88.44873200001894,94.25430999998935,5.80557799997041
1900,3,importance,274104.501889,272500.241869,-1604.260019999987,274104.68262,272500.446767,-1604.235852999962,0.1807309999712743,0.2048979999963194,0.024167000025045127
1900,4,mark_refine,274104.840128,272500.801262,-1604.0388660000172,274104.872101,272500.832511,-1604.0395900000003,0.03197299997555092,0.031248999992385507,-0.0007239999831654131
1900,5,mark_coarsen,274104.903425,272500.890008,-1604.0134170000092,274104.928536,272500.92419,-1604.0043460000306,0.025110999995376915,0.03418199997395277,0.009070999978575855
2000,2,heat_update,282945.697722,281526.274804,-1419.4229180000257,283031.01804,281616.903181,-1414.114859000023,85.32031799998367,90.62837699998636,5.308059000002686
2000,3,importance,283031.085315,281617.030643,-1414.0546719999984,283031.262596,281617.224461,-1414.0381349999807,0.1772810000111349,0.1938180000288412,0.016537000017706305
2000,4,mark_refine,283031.403181,281617.562703,-1413.8404779999983,283031.432123,281617.594303,-1413.837819999957,0.028942000004462898,0.03160000004572794,0.0026580000412650406
2000,5,mark_coarsen,283031.458795,281617.651617,-1413.8071779999882,283031.482947,281617.679503,-1413.8034440000192,0.024152000027243048,0.027885999996215105,0.003733999968972057
