parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr,cpu_id,target_mhz,measured_mhz,resource_applied
2399,3,600,3,4,4,2865.795726,2865.943261,0.147535,0x40504c,56,4300.000000,3627.622734,1
2400,4,600,0,4,4,2866.138779,2866.169189,0.030410,0x4050f7,0,4300.000000,4090.623979,1
2400,4,600,1,4,4,2866.137905,2866.162706,0.024801,0x4050f7,40,839.839005,4300.000000,1
2400,4,600,2,4,4,2866.138033,2866.156476,0.018443,0x4050f7,48,800.000000,4300.000000,1
2400,4,600,3,4,4,2866.138314,2866.157646,0.019332,0x4050f7,56,800.000000,4097.878945,1
2401,5,600,0,4,4,2866.224997,2866.249272,0.024275,0x405149,0,800.000000,4088.218391,1
2401,5,600,1,4,4,2866.224792,2866.253557,0.028765,0x405149,40,4300.000000,4300.000000,1
2401,5,600,2,4,4,2866.224734,2866.243210,0.018476,0x405149,48,800.000000,4297.647702,1
2401,5,600,3,4,4,2866.224794,2866.244120,0.019326,0x405149,56,800.000000,4100.000000,1
2798,2,700,0,4,4,3334.007524,3337.429449,3.160707,0x40500b,0,3605.867901,3683.812009,1
2798,2,700,1,4,4,3334.005851,3337.428228,3.099880,0x40500b,40,4300.000000,4299.750121,1
2798,2,700,2,4,4,3334.005965,3337.427703,3.079031,0x40500b,48,2871.539272,3003.803927,1
2798,2,700,3,4,4,3334.005922,3337.433033,3.048357,0x40500b,56,2887.097834,3003.203807,1
2799,3,700,0,4,4,3337.502202,3337.691496,0.189294,0x40504c,0,1067.975401,3599.430950,1
2799,3,700,1,4,4,3337.501503,3337.682858,0.181355,0x40504c,40,800.000000,4300.000000,1
2799,3,700,2,4,4,3337.501926,3337.691733,0.189807,0x40504c,48,1857.539354,2799.704999,1
2799,3,700,3,4,4,3337.501688,3337.690583,0.188895,0x40504c,56,4300.000000,2800.000000,1
2800,4,700,0,4,4,3337.862675,3337.895544,0.032869,0x4050f7,0,4300.000000,3592.328767,1
2800,4,700,1,4,4,3337.862404,3337.887160,0.024756,0x4050f7,40,1285.886859,4301.735270,1
2800,4,700,2,4,4,3337.862793,3337.891237,0.028444,0x4050f7,48,800.000000,2799.004975,1
2800,4,700,3,4,4,3337.862912,3337.891309,0.028397,0x4050f7,56,800.000000,2800.000000,1
2801,5,700,0,4,4,3337.951137,3337.979012,0.027875,0x405149,0,800.000000,3606.484150,1
2801,5,700,1,4,4,3337.950891,3337.979873,0.028982,0x405149,40,4300.000000,4301.478680,1
2801,5,700,2,4,4,3337.951418,3337.979695,0.028277,0x405149,48,800.000000,2799.010601,1
2801,5,700,3,4,4,3337.951267,3337.979599,0.028332,0x405149,56,800.000000,2799.012694,1
3198,2,800,0,4,4,3817.684935,3821.339675,3.214495,0x40500b,0,3565.985130,3631.345808,1
3198,2,800,1,4,4,3817.683041,3821.338888,3.271255,0x40500b,40,4300.000000,4127.582177,1
3198,2,800,2,4,4,3817.683073,3821.339001,3.262025,0x40500b,48,2628.200069,2804.859948,1
3198,2,800,3,4,4,3817.685657,3821.338307,3.253759,0x40500b,56,2712.128278,2786.789736,1
3199,3,800,0,4,4,3821.409006,3821.601730,0.192724,0x40504c,0,2436.836778,3499.092794,1
3199,3,800,1,4,4,3821.408481,3821.596847,0.188366,0x40504c,40,2228.115412,4100.000000,1
3199,3,800,2,4,4,3821.408802,3821.615984,0.207182,0x40504c,48,4038.407092,2600.125598,1
3199,3,800,3,4,4,3821.408653,3821.604515,0.195862,0x40504c,56,4300.000000,2700.000000,1
3200,4,800,0,4,4,3821.788119,3821.822139,0.034020,0x4050f7,0,2849.206480,3494.899446,1
3200,4,800,1,4,4,3821.786627,3821.812591,0.025964,0x4050f7,40,4300.000000,4101.586074,1
3200,4,800,2,4,4,3821.786987,3821.817676,0.030689,0x4050f7,48,947.197151,2600.000000,1
3200,4,800,3,4,4,3821.787039,3821.816808,0.029769,0x4050f7,56,946.808597,2700.000000,1
3201,5,800,0,4,4,3821.878681,3821.903196,0.024515,0x405149,0,800.000000,4095.048309,1
3201,5,800,1,4,4,3821.879077,3821.909609,0.030532,0x405149,40,4300.000000,4100.000000,1
3201,5,800,2,4,4,3821.878982,3821.898565,0.019583,0x405149,48,800.000000,4100.000000,1
3201,5,800,3,4,4,3821.879030,3821.897696,0.018666,0x405149,56,800.000000,4300.000000,1
3598,2,900,0,4,4,4301.853845,4305.306959,3.208876,0x40500b,0,3586.724472,3628.073741,1
3598,2,900,1,4,4,4301.853082,4305.305621,3.110118,0x40500b,40,4300.000000,4299.598775,1
3598,2,900,2,4,4,4301.853086,4305.305677,3.148841,0x40500b,48,2735.254954,2908.912373,1
3598,2,900,3,4,4,4301.853092,4305.302721,3.172620,0x40500b,56,2676.618738,2823.194864,1
